Nama,Kategori,Kota_Kabupaten,Rating,Latitude,Longitude,Provinsi
Taman Mumbul Sangeh,Alam,Kabupaten Badung,4.6,-8.483959,115.2122881,Bali
Sangeh Monkey Forest,Alam,Kabupaten Badung,4.6,-8.4817743,115.2067391,Bali
Objek Wisata Sangeh,Umum,Kabupaten Badung,4.6,-8.4815663,115.2065458,Bali
Satria Gatotkaca Park,Umum,Kabupaten Badung,4.6,-8.7443882,115.1788673,Bali
Desa Wisata Penarungan,Umum,Kabupaten Badung,5.0,-8.5396366,115.198893,Bali
Waterblow,Alam,Kabupaten Badung,4.4,-8.8038567,115.2398639,Bali
Pantai Mengening,Rekreasi,Kabupaten Badung,4.7,-8.6395322,115.1007188,Bali
Kawasan Pariwisata Nusa Dua,Umum,Kabupaten Badung,4.6,-8.8034419,115.2282787,Bali
Gunung Payung Cultural Park,Budaya,Kabupaten Badung,4.6,-8.8374241,115.2015441,Bali
Taman Anyar - Traditional Balinese House,Budaya,Kabupaten Badung,4.7,-8.5477665,115.2030592,Bali
Garuda Wisnu Kencana Cultural Park,Budaya,Kabupaten Badung,4.5,-8.8104228,115.1675986,Bali
Desa Wisata Munggu,Umum,Kabupaten Badung,4.4,-8.6182312,115.1283214,Bali
Taman Ayun Temple,Budaya,Kabupaten Badung,4.6,-8.5416323,115.1726013,Bali
Pantai Double - Six,Rekreasi,Kabupaten Badung,4.7,-8.6975406,115.1621384,Bali
Tanah Wuk,Umum,Kabupaten Badung,4.1,-8.4745676,115.2057216,Bali
Taman Sari Wisata Bahari,Alam,Kabupaten Badung,4.2,-8.754191,115.221179,Bali
Monumen Taman Mumbul,Alam,Kabupaten Badung,4.0,-8.7856993,115.194214,Bali
Wana Segara Kertih,Umum,Kabupaten Badung,4.8,-8.767093,115.1826375,Bali
Pura Geger Beach,Budaya,Kabupaten Badung,4.7,-8.819863,115.223829,Bali
DESA WISATA BONGKASA PERTIWI,Umum,Kabupaten Badung,4.7,-8.469642,115.2387016,Bali
Gunung Payung Beach,Rekreasi,Kabupaten Badung,4.8,-8.8407765,115.1998363,Bali
Deluang Sari Turtle Conservation Center,Alam,Kabupaten Badung,4.0,-8.762476,115.2165938,Bali
Rama Shinta Garden,Umum,Kabupaten Badung,4.5,-8.5615738,115.1712283,Bali
Alam Tirta Outbound,Budaya,Kabupaten Badung,4.3,-8.458932,115.221619,Bali
Bali Camel Adventure,Umum,Kabupaten Badung,4.6,-8.752645,115.1637081,Bali
Marigold (Gumitir Garden),Umum,Kabupaten Badung,4.4,-8.2810061,115.2387154,Bali
Pantai Nyang Nyang,Rekreasi,Kabupaten Badung,4.7,-8.8391636,115.0934172,Bali
