nama_wisata,kategori,provinsi,kota_kabupaten,latitude,longitude,rating
Taman Mumbul Sangeh,Alam,Bali,Kabupaten Badung,-8.483959,115.2122881,4.6
Sangeh Monkey Forest,Alam,Bali,Kabupaten Badung,-8.4817743,115.2067391,4.6
Objek Wisata Sangeh,Umum,Bali,Kabupaten Badung,-8.4815663,115.2065458,4.6
Satria Gatotkaca Park,Umum,Bali,Kabupaten Badung,-8.7443882,115.1788673,4.6
Desa Wisata Penarungan,Umum,Bali,Kabupaten Badung,-8.5396366,115.198893,5.0
Waterblow,Alam,Bali,Kabupaten Badung,-8.8038567,115.2398639,4.4
Pantai Mengening,Rekreasi,Bali,Kabupaten Badung,-8.6395322,115.1007188,4.7
Kawasan Pariwisata Nusa Dua,Umum,Bali,Kabupaten Badung,-8.8034419,115.2282787,4.6
Gunung Payung Cultural Park,Budaya,Bali,Kabupaten Badung,-8.8374241,115.2015441,4.6
Taman Anyar - Traditional Balinese House,Budaya,Bali,Kabupaten Badung,-8.5477665,115.2030592,4.7
Garuda Wisnu Kencana Cultural Park,Budaya,Bali,Kabupaten Badung,-8.8104228,115.1675986,4.5
Desa Wisata Munggu,Umum,Bali,Kabupaten Badung,-8.6182312,115.1283214,4.4
Taman Ayun Temple,Budaya,Bali,Kabupaten Badung,-8.5416323,115.1726013,4.6
Pantai Double - Six,Rekreasi,Bali,Kabupaten Badung,-8.6975406,115.1621384,4.7
Tanah Wuk,Umum,Bali,Kabupaten Badung,-8.4745676,115.2057216,4.1
Taman Sari Wisata Bahari,Alam,Bali,Kabupaten Badung,-8.754191,115.221179,4.2
Monumen Taman Mumbul,Alam,Bali,Kabupaten Badung,-8.7856993,115.194214,4.0
Wana Segara Kertih,Umum,Bali,Kabupaten Badung,-8.767093,115.1826375,4.8
Pura Geger Beach,Budaya,Bali,Kabupaten Badung,-8.819863,115.223829,4.7
DESA WISATA BONGKASA PERTIWI,Umum,Bali,Kabupaten Badung,-8.469642,115.2387016,4.7
Gunung Payung Beach,Rekreasi,Bali,Kabupaten Badung,-8.8407765,115.1998363,4.8
Deluang Sari Turtle Conservation Center,Alam,Bali,Kabupaten Badung,-8.762476,115.2165938,4.0
Rama Shinta Garden,Umum,Bali,Kabupaten Badung,-8.5615738,115.1712283,4.5
Alam Tirta Outbound,Budaya,Bali,Kabupaten Badung,-8.458932,115.221619,4.3
Bali Camel Adventure,Umum,Bali,Kabupaten Badung,-8.752645,115.1637081,4.6
Marigold (Gumitir Garden),Umum,Bali,Kabupaten Badung,-8.2810061,115.2387154,4.4
Pantai Nyang Nyang,Rekreasi,Bali,Kabupaten Badung,-8.8391636,115.0934172,4.7
Obyek Wisata Goa Gajah,Alam,Bali,Kabupaten Badung,-8.5227894,115.2877017,4.3
Tempat Lomba Ogoh-Ogoh Badung,Budaya,Bali,Kabupaten Badung,-8.6066099,115.1786571,4.526701570680628
Beji Samuan Park,Umum,Bali,Kabupaten Badung,-8.4568186,115.2125106,4.8
Honeymoon in Bali,Rekreasi,Bali,Kabupaten Badung,-8.4725228,115.1861086,4.3
Desa Swing Bongkasa,Rekreasi,Bali,Kabupaten Badung,-8.5021162,115.2358589,4.8
Tebing Panorama Melasti Beach (Tebing Kembar),Rekreasi,Bali,Kabupaten Badung,-8.8480192,115.162528,4.8
Tebing Pantai Balangan,Rekreasi,Bali,Kabupaten Badung,-8.7896794,115.1251549,4.8
Uluwatu Temple,Budaya,Bali,Kabupaten Badung,-8.8291432,115.0849069,4.6
Plaza Garuda - GWK Cultural Park,Budaya,Bali,Kabupaten Badung,-8.8102751,115.1681446,4.5
Perancak Beach,Rekreasi,Bali,Kabupaten Badung,-8.6637779,115.1359348,4.6
Seseh Beach,Rekreasi,Bali,Kabupaten Badung,-8.6470456,115.1139662,4.6
Pantai Mimpi Pondok Pemuda,Rekreasi,Bali,Kabupaten Badung,-8.7807679,115.1545782,4.0
Pantai Blue Point,Rekreasi,Bali,Kabupaten Badung,-8.8152338,115.0893624,4.8
The Sunset Ship Bali,Umum,Bali,Kabupaten Badung,-8.7531258,115.1642334,4.5
Daya Tarik Wisata Bedugul,Alam,Bali,Kabupaten Badung,-8.2840649,115.1716726,4.7
Tanah Lot,Umum,Bali,Kabupaten Badung,-8.621213,115.086807,4.7
Pantai Berawa,Rekreasi,Bali,Kabupaten Badung,-8.6673628,115.1394036,4.5
Pantai Jimbaran,Rekreasi,Bali,Kabupaten Badung,-8.7813653,115.1634319,4.6
Alas Kedaton,Umum,Bali,Kabupaten Badung,-8.5294825,115.1553403,4.2
Pantai Legian Bali,Rekreasi,Bali,Kabupaten Badung,-8.7091325,115.1666683,4.6
Grubugan Waterfall Sading,Alam,Bali,Kabupaten Badung,-8.5959166,115.1994533,4.0
Pura Puncak Mangu,Budaya,Bali,Kabupaten Badung,-8.2699891,115.2198395,4.8
Pantai Mesari,Rekreasi,Bali,Kabupaten Badung,-8.6940298,115.1594615,4.7
Pura Gede Luhur Batu Ngaus,Budaya,Bali,Kabupaten Badung,-8.6397309,115.0998247,4.7
Pantai Jerman,Rekreasi,Bali,Kabupaten Badung,-8.7347231,115.1633863,4.6
Taman Rekreasi Delta Dalung,Alam,Bali,Kabupaten Badung,-8.6105063,115.173863,4.7
Kelan Beach,Rekreasi,Bali,Kabupaten Badung,-8.7551201,115.166502,4.7
Taman desa Dalung,Alam,Bali,Kabupaten Badung,-8.6105409,115.1739049,5.0
Batu Belig Beach,Rekreasi,Bali,Kabupaten Badung,-8.6742449,115.1459553,4.6
Bukit Badung Lighthouse,Umum,Bali,Kabupaten Badung,-8.8440752,115.1697017,4.4
Sastra Bali Tour & Taxi,Umum,Bali,Kabupaten Badung,-8.6912757,115.1629658,5.0
Pura Pakendungan,Budaya,Bali,Kabupaten Badung,-8.7249193,115.1698553,4.0
Museum Pasifika Bali,Budaya,Bali,Kabupaten Badung,-8.8000858,115.2307029,4.5
Museum Yadnya,Budaya,Bali,Kabupaten Badung,-8.5433168,115.171294,4.8
Sekeh Beach ( Airport Reef Bali ),Rekreasi,Bali,Kabupaten Badung,-8.7413915,115.1606011,4.7
Sempaning beach,Rekreasi,Bali,Kabupaten Badung,-8.7797513,115.1490519,4.1
Desa Wisata Pucak Tinggan,Umum,Bali,Kabupaten Badung,-8.2715038,115.2205814,4.8
Rockbottom bali,Umum,Bali,Kabupaten Badung,-8.8091285,115.1504334,4.4
Kedonganan,Umum,Bali,Kabupaten Badung,-8.7617706,115.1740942,5.0
Patung Triratna Amreta Bhuwana,Umum,Bali,Kabupaten Badung,-8.7378103,115.1610253,4.6
Taman Gili Dukuh,Alam,Bali,Kabupaten Badung,-8.5101356,115.2066919,4.9
Penglipuran Village,Budaya,Bali,Kabupaten Bangli,-8.4225039,115.3597531,4.8
Tukad Cepung Waterfall,Alam,Bali,Kabupaten Bangli,-8.4410173,115.3868079,4.6
Pengibul Waterfall,Alam,Bali,Kabupaten Bangli,-8.5025711,115.3301122,4.3
Tibumana Waterfall,Alam,Bali,Kabupaten Bangli,-8.5068384,115.3330831,4.6
Waterboom Sidembunut,Umum,Bali,Kabupaten Bangli,-8.4493209,115.3705286,4.2
Mahapraja Bangli,Umum,Bali,Kabupaten Bangli,-8.3948762,115.3936543,4.4
Langgahan Waterfalls,Alam,Bali,Kabupaten Bangli,-8.3174372,115.2724345,4.7
Tukad Barong,Budaya,Bali,Kabupaten Bangli,-8.4314021,115.3908889,4.3
Air Terjun Desa Kutuh Bangli,Alam,Bali,Kabupaten Bangli,-8.1634943,115.3191683,4.7
Objek Wisata Penglipuran,Budaya,Bali,Kabupaten Bangli,-8.4207947,115.3603074,4.8
Waterfall Bangkiang Djaran,Alam,Bali,Kabupaten Bangli,-8.5006065,115.3567017,4.7
Pura Kehen,Budaya,Bali,Kabupaten Bangli,-8.4418777,115.3598751,4.6
objek wisata seganing,Umum,Bali,Kabupaten Bangli,-8.4609379,115.357834,4.3
Lembah Pantunan,Alam,Bali,Kabupaten Bangli,-8.4152327,115.4119335,4.4
Jembatan Kuning di Hutan Pinus,Alam,Bali,Kabupaten Bangli,-8.2629734,115.3345216,4.6
Yeh Bulan waterfall,Alam,Bali,Kabupaten Bangli,-8.4503893,115.3749344,4.8
Pelisan Waterfalls,Alam,Bali,Kabupaten Bangli,-8.3205768,115.2724369,4.8
Pinggan Sunrise View Pohon Cinta,Umum,Bali,Kabupaten Bangli,-8.2102356,115.3648534,4.7
La Fresa Kintamani,Alam,Bali,Kabupaten Bangli,-8.2822661,115.3069469,4.3
Hutan Pinus Glagalinggah Lestari,Alam,Bali,Kabupaten Bangli,-8.248042,115.314753,4.7
Sukawana Sunrise Spot,Umum,Bali,Kabupaten Bangli,-8.2173061,115.3562975,4.5
Air Terjun Krisik,Alam,Bali,Kabupaten Bangli,-8.4573836,115.3876428,4.6
Objek Wisata Tukad Batu Liuu,Umum,Bali,Kabupaten Bangli,-8.4393836,115.3534265,4.3
Pura Puncak Penulisan,Budaya,Bali,Kabupaten Bangli,-8.2081822,115.3275212,4.7
